block_height,timestamp,nonce,block_hash,difficulty,target,size,weight,reward,subsidy,fees,tx_count
900055,1749222900,3762946157,00000000000000000001af61d885a9e2461b557994b69fc35a07dc6d31e46026,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,1648069,3993769,317444155,312500000,4944155,3471
900056,1749225635,2971180610,000000000000000000015f243cbf6320fe21aac7b4bef61cbe7cdc1a799b91f2,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,1497733,3993859,321861266,312500000,9361266,3710
900057,1749226095,2071249157,000000000000000000006fac4c9109a715be9f2d1ae89d17e2202edbf2b2e163,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,1636005,3993972,318056644,312500000,5556644,3994
900058,1749226324,3543964183,000000000000000000014c95da174afa033ac0978f291e940b6077bb0c25431c,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,1653170,3993803,316448758,312500000,3948758,3770
900059,1749226412,2932690776,00000000000000000001222f8b89faf9cf408075736cc788daa489bd821be45e,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,1762413,3993864,315337347,312500000,2837347,3730
900060,1749227031,415192495,00000000000000000000a67f385ba98e7396759649ba761781bfb269e8d51a6f,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,1619290,3993766,316957239,312500000,4457239,3248
900061,1749227571,4212931359,0000000000000000000188c912efa75cd3b72affd839421d94ec5c663d0908ba,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,1832831,3993794,316398870,312500000,3898870,3037
900062,1749228675,664904366,0000000000000000000191a7fb67eb739f65ea136ac09b2a77f12391326ae4e4,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,1594879,3997570,318461367,312500000,5961367,3788
900063,1749229364,2915979874,000000000000000000020b7c991fc66485a95c13864a10654e5632df1f588339,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,1689661,3993853,317223006,312500000,4723006,2974
900064,1749229493,1599518878,0000000000000000000070437b32e954ed31f7fdc45c8493db620ab8acf5bb3b,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,1555565,3993812,315234391,312500000,2734391,1320
900065,1749230517,4271140214,00000000000000000000dd9fbdc8e1cdb2ca8379366777a806af699e04477332,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,1509478,3993679,317418831,312500000,4918831,3833
900066,1749230973,4000700457,000000000000000000004b01f1f81f35daf82dc125a552d4b0fa8bcde931be90,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,1317387,3993657,315797925,312500000,3297925,1904
900067,1749231830,2702927726,000000000000000000010c9cfd2f6c3945e0a89412a731bca26e87e0b4f38250,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,1578349,3993718,317321888,312500000,4821888,3267
900068,1749232364,3387823706,00000000000000000000ca74bb29558fc0744ea3875cf3187c524a56d0fe8e0d,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,1392923,3997751,316157006,312500000,3657006,2054
900069,1749232603,2866937077,000000000000000000018ee9f6381f3ab8fc764ed1cf3581482a83489a53bda2,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,1207276,3993886,315348786,312500000,2848786,934
900070,1749234154,1734314646,0000000000000000000077f17f8c3a76c27c7e5018d736c5a1d7b48ef9bc05f9,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,1619438,3993746,318883894,312500000,6383894,3700
900071,1749234337,2299052345,000000000000000000014ef4563c2ea331bdb3518046adbe00c9d25d3fd14ce0,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,1538784,3993735,315744747,312500000,3244747,2255
900072,1749235507,591684179,000000000000000000012366e767ee042459c04aaa4b55678ada13f76d89832e,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,1611850,3993688,318669839,312500000,6169839,3748
900073,1749235835,3074178159,00000000000000000000f70fd9e6580c98cd20d07740cd41fdab3383b55ddaff,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,1408091,3993827,315717996,312500000,3217996,1651
900074,1749236235,907748692,00000000000000000000689e3e0db2fcb6f1246531ec6ceacc17fe2fe0682c28,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,1329680,3997907,315855714,312500000,3355714,1643
900075,1749239148,1655637539,0000000000000000000152855ee239c2637c24954d220cf639888b2d42676cd1,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,1456360,3993592,321054248,312500000,8554248,3714
900076,1749239528,2150999917,00000000000000000001af4ef13458363d7059c02c2f997f34d55e8630eeb744,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,1693107,3993672,318041115,312500000,5541115,4074
900077,1749239658,2362162330,00000000000000000001a71cc5371a47ac059cfab0b68b5d45bc517aa8091002,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,1532037,3992928,316183416,312500000,3683416,1932
900078,1749241139,1564645516,00000000000000000000c47d792fc7419b4d18ac0478fe412a34f6f3636464e9,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,1635942,3993897,319680855,312500000,7180855,3317
900079,1749241593,1748405367,00000000000000000001c8a4867a0fc8529a20199748ee85e1398aa4954bb8a4,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,1739990,3993980,316732965,312500000,4232965,3571
900080,1749241929,1436682180,00000000000000000001d269a1e28aecda33a51fb4e9707f44945c31a77ed7bd,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,1662621,3997608,315491652,312500000,2991652,2260
900081,1749242616,584637483,000000000000000000010efd5b387fd7e4a54f7340c1bf13b4b7efdc37d6bad2,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,1558753,3997960,316709678,312500000,4209678,2544
900082,1749244627,473985556,0000000000000000000036461cdafc1d3939a7feaf14e6f9a0a1bcb184eb7cc7,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,1517067,3994074,319637996,312500000,7137996,3681
900083,1749245126,2712300720,00000000000000000000cfd8dd58c3507f10da627134da1f4e7ee6d89bd143a1,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,1502088,3992964,316932571,312500000,4432571,3250
900084,1749245708,322007839,0000000000000000000149a4fc265b5455b6b9abc88817d8b77a635808f4161a,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,1673627,3997919,317082193,312500000,4582193,2736
900085,1749245862,3492896159,00000000000000000001baec1eb1f87622426d1389ff89a5f515a9c71d210246,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,1124249,3997649,315095175,312500000,2595175,584
900086,1749245988,3800344076,0000000000000000000043d83a36573c304c3e78ce467a9f564990d3902fd12d,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,1132991,3993776,314803969,312500000,2303969,543
900087,1749246182,2836854192,0000000000000000000196b632a7363226794a7f34ed07f6d23a28a468a0102e,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,1184946,3993600,315131010,312500000,2631010,890
900088,1749246968,2085601846,000000000000000000008a97e6bd626ff19f4d2dae7e4a075ef1c0a747461b5e,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,1501659,3993789,316138698,312500000,3638698,2321
900089,1749247770,3347144231,0000000000000000000000a3eb361e101eea6639ea89919bbcbcbaa34a747f62,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,1602563,3993314,316257201,312500000,3757201,2495
900090,1749248763,970801692,00000000000000000000ebeadc883725a4174aa654c61491e3bb023e3029e597,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,1455790,3992977,316396086,312500000,3896086,2729
900091,1749249052,1202918120,0000000000000000000155a5fb887b5032696b90ba472945cfe56053628cdb90,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,1357956,3997842,315349334,312500000,2849334,1351
900092,1749249632,733954292,00000000000000000000b262dd22ae504e9104d2f8c972ef0f4d7da5773c7fd6,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,1492398,3993735,315448812,312500000,2948812,2290
900093,1749250149,2612401161,000000000000000000014adc52e4a16aa8b063bef8ca50b0187786b7e49c4e68,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,1763687,3993752,315006495,312500000,2506495,2527
900094,1749250309,4141377039,0000000000000000000024b3a605b1252483cad5d0c5f3cedbd030fcea7fdc6f,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,1754038,3993784,314234531,312500000,1734531,1783
900095,1749250420,3000419215,0000000000000000000210835125351e9f1781a78f3893f1fadc0a45311d3dfb,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,1144727,2306423,313309178,312500000,809178,1253
900096,1749250508,1111186646,000000000000000000007b036643f2292ffe783a957d6230129684aec8dd32b2,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,424213,1239352,313207353,312500000,707353,1348
900097,1749250810,3041207104,00000000000000000001b6ce53893b3afdd8971232a4322d31c73db099b7f830,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,539131,1454551,313495791,312500000,995791,1112
900098,1749252000,1109553845,00000000000000000001e2142b586f7a45ac009cca000f6f0f91ca24a1249955,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,1419597,3993834,316662706,312500000,4162706,2603
900099,1749253865,1955849295,00000000000000000001970a29d175206ce81bc9db2c58dc81735082a98b0fcc,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,1736124,3997902,318785611,312500000,6285611,3131
900100,1749254145,2018802207,0000000000000000000059e2d67bd0f2fabeecde1634f61490d666e861b2df39,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,1249218,3997737,315975381,312500000,3475381,2079
900101,1749254838,2284639294,00000000000000000001cc0f0171debf252d2f4c53e97523bbbef1ff11fe8e47,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,1448876,3993137,316032978,312500000,3532978,2103
900102,1749255487,554138921,0000000000000000000087b63fae4803d3b1cc7cf666351915ae68f3d03f0b36,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,1557187,3993793,314858517,312500000,2358517,2794
900103,1749255773,27277704,000000000000000000010a431adffe2767edfd7e8c80fe8cfbe50c05d8b464fa,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,850394,1963607,313450309,312500000,950309,1708
900104,1749255775,2788191354,000000000000000000005e02b34ad6221c17a48401d3887985ae14183ad1bbc8,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,125101,301231,312728069,312500000,228069,220
900105,1749256616,861251536,000000000000000000009602c50385f414b1041a7e51c7701845e19161510183,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,1253742,3993684,315468403,312500000,2968403,1754
900106,1749257327,3489188118,000000000000000000000ea740a27f5052d8e4edc4f70cedc2d5fbd6644d9d98,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,1473903,3993786,315035626,312500000,2535626,2142
900107,1749261034,1194633871,00000000000000000000f326c498337966db2d63c9a64a01b3d598706fb8f3b4,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,1458770,3993695,319087715,312500000,6587715,3564
900108,1749261587,1600039425,00000000000000000001bb5059a028f517538e9e58ca606214de0f98632534f3,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,1559573,3993761,316861852,312500000,4361852,3709
900109,1749262085,552809483,0000000000000000000148a26295eee110b5757807d84cae9df23313af4f7792,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,1310658,3992931,315650194,312500000,3150194,1373
900110,1749262118,2880729860,000000000000000000001589a6a58267b42a7f3fede8d8f428555d288836447c,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,1205858,3993794,314448129,312500000,1948129,994
900111,1749263479,1277858509,00000000000000000001d261a0f3428996fee85b0cec6d08e0cace8809f46259,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,1449399,3993900,316445296,312500000,3945296,2755
900112,1749263552,659859269,00000000000000000000f8b0d2d7d1f7f245bf17d08c5c515216dc5fce56daa8,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,1793974,3993469,314018042,312500000,1518042,1641
900113,1749263587,487757901,000000000000000000011a8acb0e1d30f6b0d3e36bb9f096d247279fb3d85bff,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,1067618,2537849,313296973,312500000,796973,1431
900114,1749264160,2395094681,0000000000000000000109d418b29aca9958edd925cdd3f1cc2c430d726c0a5d,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,1349581,3471949,314757664,312500000,2257664,2875
900115,1749264586,490980227,00000000000000000001ceb90e13ed15456816e1e88ea8db8b04d4ceb8668bb9,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,759167,1982534,313875536,312500000,1375536,1390
900116,1749264904,3423954876,000000000000000000003d91019ae048c87dbdf975ddf54e6a70d9ebba88f246,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,480967,1400410,313774713,312500000,1274713,925
900117,1749265426,1978241923,000000000000000000022fde3572e19f44a3d8340a66bdf1bd4df4b5d8448813,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,1040669,2883002,314269934,312500000,1769934,1672
900118,1749265709,929926270,000000000000000000004a04f5013980c9e726fa253735993cb2a0ac2135e598,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,347887,957349,313242277,312500000,742277,798
900119,1749267199,3470386553,00000000000000000000e4f3e34f17ab8f4e108e45dc9a077bb38de96231e63a,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,1366749,3993414,316517623,312500000,4017623,2127
900120,1749267870,2774094596,000000000000000000001435795eff5286e119eae86f23c660e4c0f99cf2f248,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,1445163,3997836,314726591,312500000,2226591,2834
900121,1749268110,2002820081,00000000000000000000b715653a6f7263dcb8945f95c430cd2f2389c2edd7f4,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,950758,2091370,313566322,312500000,1066322,1025
900122,1749268443,2577709729,000000000000000000002c9ee1bae0892ab602c5578ea17c98cd864839752dc7,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,825838,2032681,313637393,312500000,1137393,1762
900123,1749268999,2260094639,000000000000000000005eccdd3c59301a0e3ce0a9ace55d8068eaa85d27d534,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,1039445,2736077,314277587,312500000,1777587,1963
900124,1749270007,1101550455,000000000000000000022a58bbc870e3ddc828729ef128566a81aed9d0263113,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,1551442,3993739,315515681,312500000,3015681,2432
900125,1749270703,736154016,00000000000000000000df0c7727e30a7e56069b8ef26cfa4325f877df42c397,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,1499963,3992906,314922818,312500000,2422818,3027
900126,1749272056,3102584301,0000000000000000000148b149d9fa807fda77cb3917496f5cb1226b46216d0c,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,1410122,3993848,315875987,312500000,3375987,2152
900127,1749272674,166037632,00000000000000000000d4ef3f27adbf91679fd18ca8674fc10fb9a64436c59d,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,1604567,3993749,314468945,312500000,1968945,3636
900128,1749274301,691890322,00000000000000000000b751602ad7b590f095b2949dc835f6cdb9d5266bdaaa,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,1462615,3992890,316284259,312500000,3784259,2400
900129,1749274389,87256083,00000000000000000000a1129f7e708411a077a418fb0669ea10b6fd6f386633,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,1577117,3994073,314026044,312500000,1526044,3605
900130,1749274678,9244455,0000000000000000000088aa2451db5be9d56ff4e6305acdc2226c88a4bb13e6,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,1298306,3119990,313849708,312500000,1349708,2675
900131,1749275585,2813371652,00000000000000000001c18e51f93074e1b70a13b29ae456ee4e12294e7e451f,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,1344323,3993899,315531486,312500000,3031486,3124
900132,1749275720,3630912536,000000000000000000000c4284f645f8e51975863a3bb7e5430534197a95b831,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,1293229,2655898,313416135,312500000,916135,2239
900133,1749276231,1270301962,00000000000000000000956e286ae9d1ed04f855c2e59cc30c7abdd5eec4692b,126982285146989.3,0000000000000000000237740000000000000000000000000000000000000000,1795700,3896969,314660805,312500000,2160805,2875
