category,item_or_series,tracker_type,denomination_btc,physical_format,series_or_variant,verified_sale_or_listing_date,date_precision,posted_price_btc,bulk_or_variant_price_btc,price_basis,evidence_status,notes,source_urls
Verified public posted price,25 BTC piece with no BTC value,,0 funded BTC; 25 BTC design,Round / sample-like product,No BTC value,2012-01-19,Archived Casascius order-form snapshot,2.00 BTC each,5+ at 1.75 BTC each,Archived Casascius.com order form,Verified from archived Caldwell order form,Unfunded / no BTC value.,https://web.archive.org/web/20120119023109/https://www.casascius.com/
Verified public posted price,Broken 1 BTC sample with no BTC value,,0 funded BTC; 1 BTC design,Broken/sample coin,No BTC value sample,2012-01-19,Archived Casascius order-form snapshot,0.10 BTC each,,Archived Casascius.com order form,Verified from archived Caldwell order form,"Sold as a sample only, with no BTC value.",https://web.archive.org/web/20120119023109/https://www.casascius.com/
"2013 series — official bulk price normalized",0.5 BTC brass coin — Series 2,S2-COIN-0.5,0.5,Brass coin,Series 2 fractional,2013-04-30,Archived Casascius order-form snapshot; CoinDesk reported fractional coins earlier in 2013,0.7594 BTC each,37.97 BTC per roll of 50,Archived Casascius.com order form,Official bulk listing; normalized per-coin price,"The archived 2013-04-30 order form lists rolls of 50 for the 0.5 BTC brass coin. Chart starting price uses 37.97 / 50 = 0.7594 BTC per funded coin.",https://web.archive.org/web/20130430221403/https://www.casascius.com/; https://www.coindesk.com/markets/2013/05/09/whats-a-casascius-coin
"2013 series — official bulk price normalized",2013 1 BTC brass coin — Series 2,S2-COIN-1-2013,1,Brass coin,2013 Series 2 private-key/address batches,2013-04-30,Archived Casascius order-form snapshot; CoinDesk article published 2013-05-09,1.2594 BTC each,62.97 BTC per roll of 50,Archived Casascius.com order form,Official bulk listing; normalized per-coin price,"The archived 2013-04-30 order form lists rolls of 50 for the 2013 1 BTC brass coin. Chart starting price uses 62.97 / 50 = 1.2594 BTC per funded coin.",https://web.archive.org/web/20130430221403/https://www.casascius.com/; https://www.coindesk.com/markets/2013/05/09/whats-a-casascius-coin
Verified public posted price,1 BTC fine silver round — Series 3 plain silver,S3-COIN-1-AG,1,1 oz fine silver round,Series 3 plain silver,2013-07-25,Archived Casascius order-form snapshot after July 23 status post,2.50 BTC each,38.00 BTC per roll of 20,Archived Casascius.com order form,Verified from archived Caldwell order form,"Caldwell's July 23 blog post gives production/funding context; the 2013-07-25 order-form snapshot gives the first official single-coin price found.",https://web.archive.org/web/20130725094729/https://casascius.com/; https://casascius.wordpress.com/2013/07/23/status-on-silver-coins-july-23/
Verified public posted price,0.5 BTC fine silver round — Series 3,S3-COIN-0.5-AG,0.5,Fine silver round,Series 3 half-BTC silver,2013-07-25,Archived Casascius order-form snapshot after July 23 status post,1.90 BTC each,15.60 BTC per dozen,Archived Casascius.com order form,Verified from archived Caldwell order form,"Caldwell's July 23 blog post says production included half-BTC rolls and that the initial 45 half-BTC coins with Series 2 stickers were no longer available. Later order-form snapshots show lower prices, including 1.30 BTC each on 2013-10-30 and 0.85 BTC each on 2013-11-20, but 1.90 BTC is the first official single-coin price found.",https://web.archive.org/web/20130725094729/https://casascius.com/; https://web.archive.org/web/20131030115310/https://www.casascius.com/; https://casascius.wordpress.com/2013/07/23/status-on-silver-coins-july-23/
"2013 series — official bulk price normalized",0.1 BTC fine silver round — Series 3,S3-COIN-0.1-AG,0.1,Fine silver round,Series 3 tenth-BTC silver,2013-10-30,Archived Casascius order-form snapshot,0.45 BTC each,9.00 BTC per roll of 20,Archived Casascius.com order form,Official bulk listing; normalized per-coin price,"The first archived order-form listing found for the 0.1 BTC silver round is a roll of twenty. Chart starting price uses 9.00 / 20 = 0.45 BTC per funded coin. Later 2013-11-20 snapshot shows 5.03 BTC per roll of 20.",https://web.archive.org/web/20131030115310/https://www.casascius.com/; https://web.archive.org/web/20131120051802/https://www.casascius.com/
Verified public posted price,1 BTC fine silver round — gold-rim / gold-plated B variant,S3-COIN-1-AG,1,1 oz fine silver round,Gold-plated B and rim variant,2013-10-30,Archived Casascius order-form snapshot after Oct 17 gold-plating post,1.86 BTC each,30.29 BTC per roll of 20,Archived Casascius.com order form,Verified from archived Caldwell order form,"Caldwell's Oct 17 blog post says the remaining 700 1oz 1 BTC silver coins received gold plating on the B and rim; the 2013-10-30 order-form snapshot gives the first official single-coin gold-rim price found. Later 2013-11-20 snapshot shows 1.35 BTC each.",https://web.archive.org/web/20131030115310/https://www.casascius.com/; https://casascius.wordpress.com/2013/10/17/remainder-of-1btc-silver-coins-now-have-gold-plating/
Verified public posted price,1 BTC fine silver round — gold-rim / gold-plated B variant,S3-COIN-1-AG,1,1 oz fine silver round,Gold-plated B and rim variant,2013-11-20,Archived Casascius order-form snapshot,1.35 BTC each,24.19 BTC per roll of 20,Archived Casascius.com order form,Verified from archived Caldwell order form,"Later archived order-form snapshot for the gold-rim / gold-plated B stock. The single-coin listing was 1.35 BTC; the roll listing was 24.19 BTC per 20.",https://web.archive.org/web/20131120000000/https://www.casascius.com/
"2013/high-denomination bars — documented, exact Caldwell sale price not found",500 BTC gold-plated bar,S1-BAR-500;S2-BAR-500,500,Gold-plated bar,500 BTC bar,,Documented as issued Casascius denomination; exact Caldwell sale date not found,,,No direct Caldwell posted sale price found,Documented denomination; exact date and price missing,"Checked archived Casascius.com order-form snapshots across 2013 and the Casascius Wordpress blog search; no direct 500 BTC bar sale listing was found.",https://en.bitcoin.it/wiki/Casascius_physical_bitcoins; https://web.archive.org/web/20130430221403/https://www.casascius.com/; https://web.archive.org/web/20131030115310/https://www.casascius.com/; https://casascius.wordpress.com/
"2013/high-denomination bars — documented, exact Caldwell sale price not found",1000 BTC gold-plated bar,S1-BAR-1000,1000,Gold-plated bar,1000 BTC bar,,Documented as issued Casascius denomination; exact Caldwell sale date not found,,,No direct Caldwell posted sale price found,Documented denomination; exact date and price missing,"Distinct from the 1000 BTC fine gold round, whose 2012-01-19 price was 1310 BTC. Checked archived Casascius.com order-form snapshots across 2013 and the Casascius Wordpress blog search; no direct 1000 BTC gold-plated bar sale listing was found.",https://en.bitcoin.it/wiki/Casascius_physical_bitcoins; https://web.archive.org/web/20130430221403/https://www.casascius.com/; https://web.archive.org/web/20131030115310/https://www.casascius.com/; https://casascius.wordpress.com/
